Transaction ID,Items
1,"Detergent, Chicken Breast"
2,"Shampoo, Bread, Toothpaste, Chicken Breast"
3,"Detergent, Toothpaste"
4,"Eggs, Milk, Chicken Breast"
5,"Cereal, Bread, Toothpaste, Apples"
6,"Milk, Shampoo"
7,"Chicken Breast, Milk"
8,"Toothpaste, Apples"
9,"Shampoo, Eggs, Cereal"
10,"Diapers, Detergent, Cereal, Shampoo, Apples"
11,"Chicken Breast, Detergent, Diapers, Toothpaste"
12,"Eggs, Chicken Breast, Diapers, Bread, Milk"
13,"Eggs, Chicken Breast, Toothpaste, Apples"
14,"Diapers, Chicken Breast, Detergent, Apples, Toothpaste"
15,"Bread, Detergent, Shampoo, Diapers"
16,"Shampoo, Diapers, Chicken Breast, Milk, Bread"
17,"Shampoo, Toothpaste, Diapers, Chicken Breast"
18,"Apples, Diapers"
19,"Milk, Cereal"
20,"Shampoo, Eggs, Cereal"
